"","477_1","616_15.9089010234434","723_25.5422663854444","904_45.7348956724657","982_57.241220486522","1263_88.5003015524966","1723_133.276623290438","2643_223.022575252177","2856_241.570618232866","3002_254.830566296784","3166_268.412611583141","3219_271.98626103419","3383_283.928789976782","3437_288.825752067956","3439_289.047543370767","3441_289.478026420577","3522_296.906113572456","3585_302.031756693914","3599_303.128427106901","3645_306.410345300179","3652_306.99765825844","3672_309.349342639517","4051_343.418515593998","4549_392.131356082564","4898_432.57178970385","5220_466.229030111342","5255_470.778877168375","5317_479.010960933103","5423_488.945428172897","5690_516.529457367784","5810_530.118864903061","6053_559.237805479618","6166_575.959434579928","6293_590.810970466874","6387_601.341775954805","6456_610.225137653954","6692_636.381404573397","6977_677.905432606228","7098_699.675613370225","7823_803.723847100092","8175_870.758028442442","8615_935.261101096793","8755_954.286079429001","8830_963.759145379254","8880_972.240233925951","8967_983.711843412097","9142_1010.93051474219","9156_1013.04417347395","9171_1014.88535156606","9278_1035.50162813989","9334_1043.73116617723","9545_1076.40995457709","9757_1111.51339194511","9841_1125.44494973765","10033_1153.95675553429","10162_1176.0374200291","10577_1245.48162590617","10756_1290.25903660043","10901_1318.7641275539","11085_1343.34378507769","11123_1350.04176430689","11279_1371.17376925369","11313_1378.17515999807","11524_1421.27466187181","11631_1445.45701488246","12166_1578.47359189293","12177_1581.46934779195","12234_1598.72429141621","12653_1694.81693682268","12720_1706.47641890765","12789_1718.95125644797","12850_1730.05895314542","12922_1748.49569269137","13100_1790.79989422464","13265_1816.44117664773","13368_1834.64599247721","13400_1837.46423600725","13568_1867.16260538494","13605_1873.2236472843","13941_1921.69557167706","14037_1932.92951922951","14321_1970.55139512851","14328_1970.6742127677","14729_2036.52586748591","14748_2041.95875940087","14865_2062.79003363273","14917_2072.19070072514","14969_2078.45920454246","15220_2118.16601213258","15344_2142.39724221521","15398_2151.25880290377","15472_2163.50683078358","15611_2188.98181197833","15620_2191.65066888157","16005_2256.230871771","16519_2336.65799857052","16562_2344.35789114112","16612_2353.77224574638","16959_2408.18793034246","17247_2456.3325096546"
"5255_470.778877168375",0.01175,0.0115,0.01175,0.01225,0.012,0.0125,0.0135,0.01625,0.0168333333333333,0.0160833333333333,0.0158333333333333,0.0143333333333333,0.0148333333333333,0.00458333333333333,0.0155833333333333,0.0160833333333333,0.0161666666666667,0.0163333333333333,0.0161666666666667,0.0193333333333333,0.0165833333333333,0.0161666666666667,0.0176666666666667,0.0161666666666667,0.0166666666666667,0.01625,0,0.0189166666666667,0.022,0.0183333333333333,0.0174166666666667,0.01975,0.0189166666666667,0.0204166666666667,0.0203333333333333,0.01975,0.0210833333333333,0.0203333333333333,0.0224166666666667,0.0224166666666667,0.0260833333333333,0.02725,0.0266666666666667,0.0253333333333333,0.0295833333333333,0.02775,0.024,0.03025,0.0234166666666667,0.0245833333333333,0.0281666666666667,0.0249166666666667,0.0295833333333333,0.02975,0.0299166666666667,0.02925,0.0289166666666667,0.03225,0.033,0.0365,0.02925,0.0293333333333333,0.0361666666666667,0.0385,0.0294166666666667,0.0325833333333333,0.0301666666666667,0.0340833333333333,0.0364166666666667,0.03575,0.0354166666666667,0.0415833333333333,0.0413333333333333,0.0410833333333333,0.0363333333333333,0.0390833333333333,0.0330833333333333,0.0370833333333333,0.038,0.0374166666666667,0.0385833333333333,0.0394166666666667,0.0385833333333333,0.0405833333333333,0.0403333333333333,0.0414166666666667,0.0409166666666667,0.03775,0.0418333333333333,0.0431666666666667,0.0466666666666667,0.0431666666666667,0.0416666666666667,0.0415833333333333,0.04425,0.0426666666666667,0.0455833333333333,0.0451666666666667,0.0444166666666667,0.0443333333333333
"5317_479.010960933103",0.00841666666666667,0.00816666666666667,0.00841666666666667,0.00891666666666667,0.0085,0.00916666666666667,0.0101666666666667,0.013,0.0135,0.01275,0.0126666666666667,0.0110833333333333,0.0115833333333333,0.015,0.0121666666666667,0.0126666666666667,0.00766666666666667,0.0129166666666667,0.01275,0.0160833333333333,0.0133333333333333,0.01275,0.01425,0.0128333333333333,0.013,0.0130833333333333,0.0189166666666667,0,0.01875,0.0149166666666667,0.0140833333333333,0.0161666666666667,0.0155833333333333,0.0170833333333333,0.0168333333333333,0.0164166666666667,0.0175833333333333,0.017,0.0188333333333333,0.0188333333333333,0.0225833333333333,0.0236666666666667,0.0233333333333333,0.0221666666666667,0.0260833333333333,0.0241666666666667,0.021,0.0268333333333333,0.0199166666666667,0.0210833333333333,0.02475,0.0214166666666667,0.0260833333333333,0.02625,0.0264166666666667,0.0256666666666667,0.02575,0.0290833333333333,0.0298333333333333,0.033,0.0259166666666667,0.026,0.0325,0.035,0.0261666666666667,0.02925,0.0268333333333333,0.0305,0.0326666666666667,0.0324166666666667,0.0326666666666667,0.0381666666666667,0.038,0.0375833333333333,0.0328333333333333,0.0363333333333333,0.0303333333333333,0.0345,0.0351666666666667,0.0339166666666667,0.0358333333333333,0.0360833333333333,0.0359166666666667,0.0376666666666667,0.0374166666666667,0.0386666666666667,0.0371666666666667,0.0350833333333333,0.0388333333333333,0.0394166666666667,0.0431666666666667,0.03925,0.0390833333333333,0.03875,0.0405,0.0400833333333333,0.0428333333333333,0.04275,0.0406666666666667,0.0415833333333333
"5423_488.945428172897",0.0115833333333333,0.0113333333333333,0.0115833333333333,0.0120833333333333,0.0118333333333333,0.0123333333333333,0.0133333333333333,0.0161666666666667,0.0166666666666667,0.0158333333333333,0.0158333333333333,0.01425,0.01475,0.01825,0.0153333333333333,0.0159166666666667,0.016,0.0161666666666667,0.0125833333333333,0.0190833333333333,0.0165833333333333,0.016,0.0140833333333333,0.0159166666666667,0.0165,0.01625,0.022,0.01875,0,0.0181666666666667,0.0173333333333333,0.0195,0.0151666666666667,0.00633333333333333,0.01675,0.0196666666666667,0.0209166666666667,0.0201666666666667,0.0221666666666667,0.02225,0.0258333333333333,0.0236666666666667,0.0266666666666667,0.0218333333333333,0.0290833333333333,0.02775,0.0236666666666667,0.02975,0.02,0.0244166666666667,0.0280833333333333,0.0245,0.0293333333333333,0.0295833333333333,0.0296666666666667,0.0291666666666667,0.0289166666666667,0.02875,0.0295,0.033,0.0291666666666667,0.02925,0.0325833333333333,0.035,0.0259166666666667,0.0323333333333333,0.03025,0.0335,0.0323333333333333,0.0354166666666667,0.0360833333333333,0.03825,0.038,0.0369166666666667,0.036,0.0395,0.0335833333333333,0.0378333333333333,0.0383333333333333,0.0370833333333333,0.0393333333333333,0.0390833333333333,0.0394166666666667,0.0410833333333333,0.0408333333333333,0.04175,0.03675,0.0384166666666667,0.04225,0.0389166666666667,0.0425833333333333,0.0389166666666667,0.04225,0.0421666666666667,0.0401666666666667,0.0433333333333333,0.046,0.0455833333333333,0.0401666666666667,0.0448333333333333
"5690_516.529457367784",0.00775,0.0075,0.00775,0.00825,0.00783333333333333,0.00841666666666667,0.0095,0.0121666666666667,0.0128333333333333,0.0121666666666667,0.012,0.0104166666666667,0.0109166666666667,0.0144166666666667,0.0115833333333333,0.0120833333333333,0.0121666666666667,0.01225,0.0121666666666667,0.0150833333333333,0.0125833333333333,0.0120833333333333,0.0136666666666667,0.01225,0.0126666666666667,0.0123333333333333,0.0183333333333333,0.0149166666666667,0.0181666666666667,0,0.0135,0.0158333333333333,0.01475,0.0164166666666667,0.0163333333333333,0.0158333333333333,0.0171666666666667,0.00408333333333333,0.0181666666666667,0.00608333333333333,0.0219166666666667,0.02325,0.0228333333333333,0.0215833333333333,0.0256666666666667,0.0239166666666667,0.0203333333333333,0.0263333333333333,0.0196666666666667,0.00825,0.0240833333333333,0.0208333333333333,0.0256666666666667,0.0255833333333333,0.026,0.0254166666666667,0.0128333333333333,0.0285,0.02925,0.0323333333333333,0.0131666666666667,0.01325,0.0319166666666667,0.0343333333333333,0.0255,0.0164166666666667,0.0141666666666667,0.0299166666666667,0.0325,0.0195833333333333,0.032,0.0375833333333333,0.0373333333333333,0.0374166666666667,0.0201666666666667,0.03575,0.0295833333333333,0.0336666666666667,0.0345,0.02125,0.03525,0.0233333333333333,0.0353333333333333,0.0370833333333333,0.0368333333333333,0.03775,0.037,0.0343333333333333,0.0383333333333333,0.0389166666666667,0.0430833333333333,0.03925,0.0383333333333333,0.03825,0.0404166666666667,0.0393333333333333,0.042,0.042,0.0405,0.0408333333333333
"5810_530.118864903061",0.00683333333333333,0.00666666666666667,0.00691666666666667,0.00741666666666667,0.00716666666666667,0.00766666666666667,0.00866666666666667,0.0115,0.012,0.0113333333333333,0.0111666666666667,0.00958333333333333,0.0100833333333333,0.0135,0.01075,0.01125,0.0113333333333333,0.0115,0.0113333333333333,0.0145833333333333,0.0119166666666667,0.0113333333333333,0.01275,0.0114166666666667,0.0118333333333333,0.0115833333333333,0.0174166666666667,0.0140833333333333,0.0173333333333333,0.0135,0,0.0149166666666667,0.0139166666666667,0.0155833333333333,0.0155,0.00233333333333333,0.01625,0.0155833333333333,0.0175833333333333,0.0175833333333333,0.0211666666666667,0.0223333333333333,0.022,0.0205833333333333,0.02475,0.023,0.0195,0.02525,0.0186666666666667,0.01975,0.0234166666666667,0.0200833333333333,0.0248333333333333,0.025,0.0251666666666667,0.0245,0.02425,0.0275,0.02825,0.0318333333333333,0.0245,0.0245833333333333,0.0314166666666667,0.0338333333333333,0.0246666666666667,0.0278333333333333,0.0255833333333333,0.029,0.0316666666666667,0.031,0.0313333333333333,0.0370833333333333,0.0368333333333333,0.0363333333333333,0.0315833333333333,0.0350833333333333,0.0290833333333333,0.03325,0.0339166666666667,0.0326666666666667,0.0345833333333333,0.0345833333333333,0.0346666666666667,0.0365,0.0360833333333333,0.0374166666666667,0.0361666666666667,0.0338333333333333,0.03775,0.03825,0.042,0.03825,0.03775,0.03775,0.0395833333333333,0.0385833333333333,0.0413333333333333,0.0414166666666667,0.0396666666666667,0.04
"6053_559.237805479618",0.00925,0.009,0.00925,0.00958333333333333,0.0095,0.01,0.01075,0.0138333333333333,0.0143333333333333,0.0136666666666667,0.0135,0.0118333333333333,0.0123333333333333,0.0158333333333333,0.0129166666666667,0.0135,0.0136666666666667,0.0136666666666667,0.0135,0.0169166666666667,0.0141666666666667,0.0135833333333333,0.0150833333333333,0.0135833333333333,0.0141666666666667,0.0139166666666667,0.01975,0.0161666666666667,0.0195,0.0158333333333333,0.0149166666666667,0,0.0163333333333333,0.01775,0.0176666666666667,0.01725,0.00716666666666667,0.0178333333333333,0.0196666666666667,0.01975,0.0121666666666667,0.0245833333333333,0.0130833333333333,0.0228333333333333,0.0264166666666667,0.0140833333333333,0.02175,0.0270833333333333,0.0210833333333333,0.022,0.0145,0.0141666666666667,0.01575,0.0159166666666667,0.0160833333333333,0.0155833333333333,0.0266666666666667,0.0296666666666667,0.0304166666666667,0.0338333333333333,0.0268333333333333,0.0269166666666667,0.0334166666666667,0.0358333333333333,0.0269166666666667,0.0301666666666667,0.0278333333333333,0.0233333333333333,0.0338333333333333,0.0333333333333333,0.0333333333333333,0.0390833333333333,0.0388333333333333,0.0386666666666667,0.0339166666666667,0.0370833333333333,0.031,0.0351666666666667,0.0358333333333333,0.035,0.0365833333333333,0.0368333333333333,0.0366666666666667,0.0384166666666667,0.03825,0.0395,0.0383333333333333,0.0353333333333333,0.0395833333333333,0.0405,0.0443333333333333,0.0405833333333333,0.03975,0.0393333333333333,0.04175,0.0405833333333333,0.0435,0.0434166666666667,0.0418333333333333,0.0420833333333333
"6166_575.959434579928",0.00833333333333333,0.00808333333333333,0.00833333333333333,0.00875,0.00858333333333333,0.00908333333333333,0.0100833333333333,0.01275,0.0133333333333333,0.0126666666666667,0.0125,0.011,0.0115,0.015,0.0121666666666667,0.0126666666666667,0.01275,0.0129166666666667,0.00608333333333333,0.016,0.0133333333333333,0.01275,0.00758333333333333,0.0128333333333333,0.01325,0.013,0.0189166666666667,0.0155833333333333,0.0151666666666667,0.01475,0.0139166666666667,0.0163333333333333,0,0.0135833333333333,0.01025,0.01625,0.0176666666666667,0.0168333333333333,0.019,0.0188333333333333,0.0226666666666667,0.017,0.0234166666666667,0.00866666666666667,0.0263333333333333,0.0243333333333333,0.0205833333333333,0.0269166666666667,0.00691666666666667,0.021,0.0248333333333333,0.02125,0.02625,0.0264166666666667,0.0265833333333333,0.0259166666666667,0.0251666666666667,0.0155,0.01625,0.02875,0.0255,0.0255833333333333,0.0283333333333333,0.03075,0.0126666666666667,0.0288333333333333,0.0265833333333333,0.03025,0.0264166666666667,0.032,0.03275,0.034,0.03375,0.03125,0.0325833333333333,0.0365,0.0304166666666667,0.0345833333333333,0.03525,0.0336666666666667,0.036,0.0356666666666667,0.0360833333333333,0.0379166666666667,0.0375,0.0385833333333333,0.0308333333333333,0.0350833333333333,0.0391666666666667,0.03325,0.0369166666666667,0.0330833333333333,0.0390833333333333,0.0389166666666667,0.0343333333333333,0.03975,0.0425833333333333,0.0428333333333333,0.03425,0.0414166666666667
"6293_590.810970466874",0.00983333333333333,0.00958333333333333,0.00983333333333333,0.0103333333333333,0.0100833333333333,0.0105833333333333,0.0115833333333333,0.0144166666666667,0.01475,0.0141666666666667,0.0139166666666667,0.0125,0.013,0.0165,0.0136666666666667,0.0141666666666667,0.01425,0.0144166666666667,0.0109166666666667,0.0173333333333333,0.01475,0.01425,0.0124166666666667,0.0141666666666667,0.01475,0.0145,0.0204166666666667,0.0170833333333333,0.00633333333333333,0.0164166666666667,0.0155833333333333,0.01775,0.0135833333333333,0,0.0150833333333333,0.0179166666666667,0.0191666666666667,0.0185,0.0204166666666667,0.0205,0.024,0.022,0.0249166666666667,0.02025,0.0275833333333333,0.0259166666666667,0.0219166666666667,0.02825,0.0184166666666667,0.0226666666666667,0.02625,0.02275,0.02775,0.0279166666666667,0.0280833333333333,0.0273333333333333,0.0271666666666667,0.0271666666666667,0.0279166666666667,0.0314166666666667,0.0273333333333333,0.0274166666666667,0.031,0.0334166666666667,0.0243333333333333,0.0305833333333333,0.0284166666666667,0.0319166666666667,0.0305833333333333,0.0335833333333333,0.03425,0.0366666666666667,0.0364166666666667,0.0355,0.0341666666666667,0.038,0.0319166666666667,0.036,0.0366666666666667,0.03525,0.0375,0.03725,0.0375833333333333,0.03925,0.0390833333333333,0.0400833333333333,0.0349166666666667,0.0365833333333333,0.0404166666666667,0.0370833333333333,0.0411666666666667,0.0370833333333333,0.0404166666666667,0.0404166666666667,0.0384166666666667,0.0415833333333333,0.04425,0.0439166666666667,0.0384166666666667,0.0430833333333333
"6387_601.341775954805",0.00975,0.0095,0.00975,0.0101666666666667,0.01,0.0105,0.0114166666666667,0.0143333333333333,0.0148333333333333,0.0140833333333333,0.0139166666666667,0.01225,0.01275,0.0164166666666667,0.0135833333333333,0.014,0.0141666666666667,0.0143333333333333,0.00416666666666667,0.0174166666666667,0.01475,0.0141666666666667,0.00675,0.0141666666666667,0.0146666666666667,0.01425,0.0203333333333333,0.0168333333333333,0.01675,0.0163333333333333,0.0155,0.0176666666666667,0.01025,0.0150833333333333,0,0.0178333333333333,0.0190833333333333,0.0184166666666667,0.0203333333333333,0.0204166666666667,0.0240833333333333,0.01225,0.02475,0.0169166666666667,0.0275833333333333,0.0258333333333333,0.0219166666666667,0.0281666666666667,0.0150833333333333,0.0225833333333333,0.02625,0.02275,0.0275833333333333,0.0278333333333333,0.0279166666666667,0.0273333333333333,0.0268333333333333,0.02375,0.0245,0.0303333333333333,0.0271666666666667,0.02725,0.0299166666666667,0.0323333333333333,0.0209166666666667,0.0305,0.0280833333333333,0.0316666666666667,0.0214166666666667,0.0336666666666667,0.0338333333333333,0.0354166666666667,0.0350833333333333,0.0264166666666667,0.03425,0.0374166666666667,0.0315,0.03575,0.0364166666666667,0.0353333333333333,0.0369166666666667,0.0373333333333333,0.0371666666666667,0.0390833333333333,0.0388333333333333,0.0399166666666667,0.026,0.0363333333333333,0.0403333333333333,0.0281666666666667,0.0320833333333333,0.02825,0.0403333333333333,0.0400833333333333,0.0294166666666667,0.0411666666666667,0.0439166666666667,0.0439166666666667,0.0295,0.04275
"6456_610.225137653954",0.00916666666666667,0.009,0.00925,0.00975,0.0095,0.01,0.011,0.0138333333333333,0.0143333333333333,0.0136666666666667,0.0135,0.0119166666666667,0.0124166666666667,0.0158333333333333,0.0130833333333333,0.0135833333333333,0.0136666666666667,0.0138333333333333,0.0136666666666667,0.0169166666666667,0.01425,0.0136666666666667,0.0150833333333333,0.01375,0.0141666666666667,0.0139166666666667,0.01975,0.0164166666666667,0.0196666666666667,0.0158333333333333,0.00233333333333333,0.01725,0.01625,0.0179166666666667,0.0178333333333333,0,0.0185833333333333,0.0179166666666667,0.0198333333333333,0.0199166666666667,0.0235,0.0244166666666667,0.0243333333333333,0.0229166666666667,0.0269166666666667,0.0253333333333333,0.0218333333333333,0.0274166666666667,0.021,0.0220833333333333,0.02575,0.0224166666666667,0.0271666666666667,0.0273333333333333,0.0275,0.0268333333333333,0.0265833333333333,0.0298333333333333,0.0305833333333333,0.0341666666666667,0.0268333333333333,0.0269166666666667,0.03375,0.0361666666666667,0.027,0.0301666666666667,0.02775,0.03125,0.0338333333333333,0.0333333333333333,0.0336666666666667,0.0393333333333333,0.0391666666666667,0.0385,0.0339166666666667,0.0374166666666667,0.0314166666666667,0.0354166666666667,0.03625,0.035,0.0369166666666667,0.0369166666666667,0.037,0.03875,0.0384166666666667,0.03975,0.0383333333333333,0.0361666666666667,0.0400833333333333,0.0404166666666667,0.0441666666666667,0.0404166666666667,0.0400833333333333,0.0400833333333333,0.04175,0.0408333333333333,0.0436666666666667,0.0436666666666667,0.0418333333333333,0.0423333333333333
"6692_636.381404573397",0.0105,0.0103333333333333,0.0105833333333333,0.0110833333333333,0.0108333333333333,0.0113333333333333,0.01225,0.0151666666666667,0.0156666666666667,0.015,0.0148333333333333,0.0131666666666667,0.0136666666666667,0.0171666666666667,0.0144166666666667,0.0149166666666667,0.015,0.015,0.0149166666666667,0.01825,0.0155,0.0149166666666667,0.0164166666666667,0.0148333333333333,0.0155,0.0151666666666667,0.0210833333333333,0.0175833333333333,0.0209166666666667,0.0171666666666667,0.01625,0.00716666666666667,0.0176666666666667,0.0191666666666667,0.0190833333333333,0.0185833333333333,0,0.0190833333333333,0.021,0.0210833333333333,0.00683333333333333,0.026,0.0085,0.02425,0.02825,0.00875,0.0231666666666667,0.0289166666666667,0.0224166666666667,0.0234166666666667,0.00916666666666667,0.0155,0.0105833333333333,0.01075,0.0109166666666667,0.01025,0.0279166666666667,0.0310833333333333,0.0318333333333333,0.0349166666666667,0.028,0.0280833333333333,0.0345,0.0369166666666667,0.02825,0.0313333333333333,0.0290833333333333,0.0246666666666667,0.035,0.0345,0.0346666666666667,0.0401666666666667,0.0399166666666667,0.0398333333333333,0.0350833333333333,0.0384166666666667,0.0324166666666667,0.0365833333333333,0.03725,0.03625,0.0379166666666667,0.0381666666666667,0.038,0.0399166666666667,0.0396666666666667,0.0409166666666667,0.0395,0.0371666666666667,0.041,0.0415833333333333,0.0455,0.0415,0.0411666666666667,0.0410833333333333,0.0429166666666667,0.042,0.0449166666666667,0.0448333333333333,0.043,0.0435
"6977_677.905432606228",0.00983333333333333,0.00958333333333333,0.00983333333333333,0.0103333333333333,0.0100833333333333,0.0105833333333333,0.0115833333333333,0.01425,0.0148333333333333,0.01425,0.0140833333333333,0.0125,0.013,0.0164166666666667,0.0136666666666667,0.0141666666666667,0.01425,0.0144166666666667,0.01425,0.0171666666666667,0.0146666666666667,0.0141666666666667,0.01575,0.0143333333333333,0.01475,0.0144166666666667,0.0203333333333333,0.017,0.0201666666666667,0.00408333333333333,0.0155833333333333,0.0178333333333333,0.0168333333333333,0.0185,0.0184166666666667,0.0179166666666667,0.0190833333333333,0,0.02025,0.005,0.0238333333333333,0.0253333333333333,0.02475,0.0236666666666667,0.02775,0.02575,0.0224166666666667,0.0284166666666667,0.02175,0.00716666666666667,0.0259166666666667,0.0228333333333333,0.0273333333333333,0.0273333333333333,0.0276666666666667,0.02725,0.01175,0.0305833333333333,0.0313333333333333,0.0345833333333333,0.0120833333333333,0.0121666666666667,0.0341666666666667,0.0365833333333333,0.0275833333333333,0.0153333333333333,0.0130833333333333,0.0319166666666667,0.0346666666666667,0.0185,0.034,0.0398333333333333,0.0395833333333333,0.0395833333333333,0.0190833333333333,0.03775,0.0315833333333333,0.0356666666666667,0.0365,0.0201666666666667,0.03725,0.02225,0.0373333333333333,0.0390833333333333,0.0388333333333333,0.0399166666666667,0.0391666666666667,0.0363333333333333,0.0403333333333333,0.0411666666666667,0.04525,0.0414166666666667,0.0403333333333333,0.04025,0.0425833333333333,0.04125,0.044,0.044,0.0426666666666667,0.0428333333333333
"7098_699.675613370225",0.0118333333333333,0.0115833333333333,0.0111666666666667,0.0123333333333333,0.0120833333333333,0.0125833333333333,0.01125,0.0163333333333333,0.01675,0.01625,0.016,0.0145,0.015,0.0185,0.0156666666666667,0.0159166666666667,0.0158333333333333,0.0164166666666667,0.01625,0.0194166666666667,0.0153333333333333,0.0160833333333333,0.01775,0.01625,0.0166666666666667,0.0164166666666667,0.0224166666666667,0.0188333333333333,0.0221666666666667,0.0181666666666667,0.0175833333333333,0.0196666666666667,0.019,0.0204166666666667,0.0203333333333333,0.0198333333333333,0.021,0.02025,0,0.0221666666666667,0.026,0.0273333333333333,0.0265833333333333,0.0254166666666667,0.02975,0.0278333333333333,0.02425,0.03025,0.02375,0.0243333333333333,0.02825,0.02475,0.0295,0.0296666666666667,0.0298333333333333,0.0291666666666667,0.029,0.03225,0.033,0.0366666666666667,0.0291666666666667,0.02925,0.03625,0.0386666666666667,0.0295,0.0324166666666667,0.0300833333333333,0.0335833333333333,0.0365833333333333,0.0355833333333333,0.0345833333333333,0.0419166666666667,0.04125,0.0414166666666667,0.0361666666666667,0.0383333333333333,0.03225,0.0361666666666667,0.0366666666666667,0.03725,0.0378333333333333,0.03925,0.0379166666666667,0.0395833333333333,0.0395,0.0401666666666667,0.041,0.037,0.0408333333333333,0.0433333333333333,0.0469166666666667,0.0433333333333333,0.0408333333333333,0.0409166666666667,0.0444166666666667,0.0419166666666667,0.0445,0.044,0.0441666666666667,0.0431666666666667
"7823_803.723847100092",0.0118333333333333,0.0115833333333333,0.0118333333333333,0.0123333333333333,0.0120833333333333,0.0125833333333333,0.0135,0.01625,0.0169166666666667,0.01625,0.0160833333333333,0.0145,0.015,0.0184166666666667,0.0156666666666667,0.0161666666666667,0.0160833333333333,0.0164166666666667,0.01625,0.0191666666666667,0.0166666666666667,0.0161666666666667,0.01775,0.0163333333333333,0.01675,0.0164166666666667,0.0224166666666667,0.0188333333333333,0.02225,0.00608333333333333,0.0175833333333333,0.01975,0.0188333333333333,0.0205,0.0204166666666667,0.0199166666666667,0.0210833333333333,0.005,0.0221666666666667,0,0.0258333333333333,0.0273333333333333,0.0266666666666667,0.0256666666666667,0.0296666666666667,0.0276666666666667,0.0244166666666667,0.0303333333333333,0.0235833333333333,0.00816666666666667,0.0278333333333333,0.02475,0.0293333333333333,0.0293333333333333,0.0296666666666667,0.0291666666666667,0.01275,0.0325,0.03325,0.0365833333333333,0.0130833333333333,0.0131666666666667,0.0361666666666667,0.0385833333333333,0.0295833333333333,0.0163333333333333,0.0140833333333333,0.03375,0.0366666666666667,0.0195,0.036,0.0418333333333333,0.0415833333333333,0.0415833333333333,0.0200833333333333,0.03975,0.0335833333333333,0.0376666666666667,0.0385,0.0211666666666667,0.03925,0.02325,0.0393333333333333,0.0410833333333333,0.0408333333333333,0.0419166666666667,0.0411666666666667,0.0383333333333333,0.0423333333333333,0.0431666666666667,0.0470833333333333,0.0434166666666667,0.0423333333333333,0.0421666666666667,0.0445833333333333,0.04325,0.046,0.0459166666666667,0.0446666666666667,0.04475
"8175_870.758028442442",0.0155833333333333,0.0153333333333333,0.0155833333333333,0.0160833333333333,0.0158333333333333,0.01625,0.01725,0.0201666666666667,0.0206666666666667,0.02,0.01975,0.0181666666666667,0.0186666666666667,0.0221666666666667,0.0194166666666667,0.0199166666666667,0.02,0.01975,0.0199166666666667,0.02325,0.0205,0.0199166666666667,0.0214166666666667,0.0199166666666667,0.02025,0.0201666666666667,0.0260833333333333,0.0225833333333333,0.0258333333333333,0.0219166666666667,0.0211666666666667,0.0121666666666667,0.0226666666666667,0.024,0.0240833333333333,0.0235,0.00683333333333333,0.0238333333333333,0.026,0.0258333333333333,0,0.0305833333333333,0.0135833333333333,0.0290833333333333,0.0330833333333333,0.00858333333333333,0.0280833333333333,0.0335833333333333,0.02725,0.0280833333333333,0.009,0.0205,0.0104166666666667,0.0105833333333333,0.01075,0.0100833333333333,0.0325833333333333,0.0359166666666667,0.03675,0.0398333333333333,0.03275,0.0328333333333333,0.0394166666666667,0.0418333333333333,0.0330833333333333,0.0360833333333333,0.0338333333333333,0.0293333333333333,0.0399166666666667,0.0391666666666667,0.0396666666666667,0.0450833333333333,0.0446666666666667,0.04475,0.03975,0.04325,0.0373333333333333,0.0415833333333333,0.04225,0.0409166666666667,0.0425833333333333,0.0426666666666667,0.0428333333333333,0.0446666666666667,0.0446666666666667,0.04575,0.0444166666666667,0.0421666666666667,0.0459166666666667,0.0463333333333333,0.0504166666666667,0.0463333333333333,0.0460833333333333,0.0460833333333333,0.0478333333333333,0.047,0.0499166666666667,0.04975,0.0476666666666667,0.0485
"8615_935.261101096793",0.0165,0.0164166666666667,0.0166666666666667,0.0170833333333333,0.0169166666666667,0.0174166666666667,0.0184166666666667,0.0209166666666667,0.02175,0.021,0.0209166666666667,0.0193333333333333,0.0198333333333333,0.0233333333333333,0.0204166666666667,0.0209166666666667,0.0210833333333333,0.0210833333333333,0.0111666666666667,0.0241666666666667,0.0216666666666667,0.0210833333333333,0.0138333333333333,0.0210833333333333,0.0215833333333333,0.0213333333333333,0.02725,0.0236666666666667,0.0236666666666667,0.02325,0.0223333333333333,0.0245833333333333,0.017,0.022,0.01225,0.0244166666666667,0.026,0.0253333333333333,0.0273333333333333,0.0273333333333333,0.0305833333333333,0,0.0314166666666667,0.0236666666666667,0.0341666666666667,0.0324166666666667,0.0286666666666667,0.03475,0.0219166666666667,0.0293333333333333,0.0329166666666667,0.0295833333333333,0.0343333333333333,0.0345833333333333,0.0346666666666667,0.0340833333333333,0.0336666666666667,0.0305,0.03125,0.0370833333333333,0.034,0.034,0.0366666666666667,0.0390833333333333,0.0276666666666667,0.0373333333333333,0.0348333333333333,0.0384166666666667,0.0196666666666667,0.0403333333333333,0.0403333333333333,0.04225,0.0418333333333333,0.0249166666666667,0.0409166666666667,0.0439166666666667,0.0381666666666667,0.0420833333333333,0.0429166666666667,0.042,0.0435,0.044,0.0436666666666667,0.0453333333333333,0.0449166666666667,0.0464166666666667,0.0241666666666667,0.0426666666666667,0.0464166666666667,0.0265833333333333,0.0305,0.0264166666666667,0.0465833333333333,0.0464166666666667,0.0275,0.04725,0.0499166666666667,0.0504166666666667,0.0278333333333333,0.0488333333333333
